,Year,Conversions,Baptisms,New Church Sponsor,Compassionate Ministry,Doctrine of Holiness Preached,Full Church Members Reported Last Year,Received by Profession of Faith,Received from Other Denominations,Received by Transfer,Total Gains,Lost by Death,Lost by Removal,Lost by Commendation,Lost by Release,"Lost by Removal, Commendation, or Release",Lost by Transfer to Other Nazarene Churches,Total Losses,Full Church Members End of Year,Inactive Church Members,Fellowship Church Members,Weekly Corporate Worship,Communion Served,Prayer Meetings,Total Children’s SDMI Responsibility List,Average Weekly Children’s SDMI Attendance,Total Youth SDMI Responsibility List,Average Weekly Youth SDMI Attendance,Total Adult SDMI Responsibility List,Average Weekly Adult SDMI Attendance,Total SDMI Responsibility List,Average Weekly SDMI Attendance,Total Average Weekly Sunday School Attendance,Total Average Weekly Discipleship Groups Attendance,Actively Involved in Ministry,Operate a Child Development Center?,Enrolled Child Development Center,Provide Lay Ministry Training?,VBS Enrollment,Caravan Enrollment,NYI Membership,NMI Active Membership,NMI Associate Membership,Licensed Local Ministers,Lay Ministry Certificates Issued,Total Church Income,World Evangelism Fund,Approved Mission Specials,Other Global Interests,Total Given to Global Mission,Pension Fund,District  Ministry Funds,Other District Interests,Total Given to District Mission,Assigned Educational Institution,Other Nazarene Educational Instituions,Total Given to Education Funds,"Buildings, Properties and Capital Improvements",Debt Service,"Pastor, Associate, and Support Staff Salaries","Pastor, Associate, and Support Staff Benefits",Local Compassionate Ministries,All Other Church Ministries,Total Used for Local Mission,Total Missional Disbursements,Value of Church Properties,Indebtedness on Those Properties,Allocation Paid in Full?,Percentage Paid,Fund Allocation Paid in Full?,Fund Percentage Paid,Fund Allocation Paid in Full?,Fund Percentage Paid,Fund Allocation Paid in Full?,Allocations Paid in Full?,Given for Global Missions
0,2021,10.0,2,0.0,Yes,Yes,154,2.0,0.0,0.0,2,1.0,0,0,0,0.0,0,1,155,75,0,120.0,6,5.0,36,25.0,34,20.0,101,75.0,171,120,25,49,75.0,No,,Yes,0,0,23,80,105.0,0.0,0.0,273851.0,14353,1377,0,15730,5924,5450,0,5450,0,25.0,25,15285,28095,95593,24000,250,10318,173541,200670,2000000,175467.0,Yes,1.011,Yes,1.02,No,0.0,No,No,0.06094
1,2020,10.0,2,0.0,Yes,Yes,154,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0,0,154,75,0,120.0,14,5.0,36,25.0,34,20.0,101,75.0,171,120,25,49,75.0,No,,Yes,55,0,23,80,105.0,0.0,0.0,251094.0,13032,1232,0,14264,5406,13624,0,13624,4723,25.0,4748,48680,24902,89880,33187,350,15531,212530,250572,2000000,194449.0,Yes,1.001,Yes,1.015,No,0.886,No,No,0.06022
2,2019,10.0,2,0.0,Yes,Yes,153,2.0,0.0,0.0,2,1.0,0,0,0,0.0,0,1,154,75,0,122.0,14,5.0,45,33.0,26,18.0,102,54.0,173,105,21,33,110.0,No,,Yes,65,0,26,80,105.0,0.0,0.0,265590.0,13891,1929,0,15820,5678,14936,0,14936,5678,0.0,5678,4645,45652,66556,44186,1390,71339,233768,275880,2000000,166043.0,Yes,1.01,Yes,1.009,Yes,1.009,Yes,Yes,0.06327
3,2018,10.0,3,0.0,Yes,Yes,146,6.0,0.0,1.0,7,0.0,0,0,0,0.0,0,0,153,75,0,122.0,16,5.0,56,33.0,20,12.0,117,54.0,193,99,21,33,193.0,No,,Yes,80,0,25,80,105.0,0.0,0.0,260000.0,13607,1693,0,15300,5533,16104,0,16104,5533,25.0,5558,8840,49776,61901,44186,1950,77935,244588,287083,2000000,372364.0,Yes,1.01,Yes,1.004,Yes,1.004,Yes,Yes,0.06246
4,2017,8.0,0,0.0,Yes,Yes,205,2.0,0.0,0.0,2,1.0,60,0,0,60.0,0,61,146,66,0,133.0,16,4.0,65,35.0,24,12.0,111,57.0,200,104,28,34,175.0,No,,No,62,0,24,80,105.0,0.0,0.0,288406.0,15134,2650,0,17784,6142,15168,0,15168,6142,0.0,6142,5367,49776,63587,48106,0,92816,259652,304888,2000000,404690.0,Yes,1.011,Yes,1.003,Yes,1.003,Yes,Yes,0.06536
5,2016,10.0,4,0.0,Yes,Yes,205,2.0,0.0,0.0,2,0.0,0,0,0,0.0,2,2,205,118,0,143.0,14,4.0,58,45.0,26,16.0,130,57.0,214,118,30,43,50.0,No,,No,75,0,30,80,105.0,0.0,0.0,325075.0,16955,17381,0,34336,6926,10736,0,10736,4589,0.0,4589,12766,69776,59434,46103,237,72905,261221,317808,2000000,435495.0,Yes,1.01,Yes,1.008,No,0.668,No,No,0.11246
6,2015,10.0,6,0.0,Yes,Yes,213,5.0,0.0,0.0,5,0.0,13,0,0,13.0,0,13,205,118,0,143.0,14,4.0,58,45.0,20,10.0,180,65.0,258,120,25,34,75.0,No,,No,115,0,20,80,105.0,0.0,0.0,238128.0,11525,16842,0,28367,3773,6692,0,6692,3773,25.0,3798,11592,49776,59456,44811,297,75214,241146,283776,2000000,484437.0,No,0.936,No,0.747,No,0.747,No,No,0.12631
7,2014,10.0,0,0.0,Yes,Yes,213,2.0,0.0,2.0,4,4.0,0,0,0,0.0,0,4,213,90,0,145.0,14,3.0,58,45.0,25,14.0,180,65.0,263,124,24,34,75.0,No,,No,125,0,20,75,100.0,0.0,0.0,283784.0,14687,16913,0,31600,6018,6017,0,6017,0,25.0,25,18350,49776,56741,46744,701,81027,253339,296999,2000000,511801.0,Yes,1.008,Yes,1.009,No,0.0,No,No,0.11924
8,2013,10.0,3,0.0,Yes,Yes,215,4.0,0.0,2.0,6,1.0,0,1,4,5.0,2,8,213,85,0,149.0,14,3.0,54,45.0,30,12.0,180,61.0,264,118,30,55,75.0,No,,,150,0,20,75,100.0,0.0,,280814.0,14544,17133,0,31677,5954,17199,0,17199,5953,50.0,6003,10468,54203,57317,45430,5482,79404,252304,313137,2000000,537972.0,Yes,1.0,Yes,1.001,Yes,1.001,Yes,Yes,0.11979
9,2012,15.0,0,0.0,Yes,Yes,203,14.0,0.0,3.0,17,1.0,0,0,1,1.0,3,5,215,95,0,162.0,14,3.0,68,46.0,26,12.0,168,62.0,262,120,26,94,76.0,No,,,134,0,26,75,100.0,1.0,,298692.0,15626,2796,0,18422,5665,18126,0,18126,7077,0.0,7077,25059,55089,54762,44034,1140,90163,270247,319537,2000000,552521.0,Yes,1.012,Yes,1.009,Yes,1.008,Yes,Yes,0.06559
10,2011,20.0,4,0.0,Yes,Yes,205,4.0,0.0,0.0,4,2.0,0,0,0,0.0,4,6,203,87,0,170.0,15,3.0,68,23.0,28,17.0,172,38.0,268,78,29,78,,No,,,75,0,48,95,120.0,,,299534.0,15618,2637,0,18255,5646,17535,0,17535,7056,25.0,7081,12000,55089,138505,14905,714,49028,270241,318758,2000000,571832.0,Yes,,Yes,,Yes,,Yes,Yes,0.06467
11,2010,10.0,4,0.0,Yes,Yes,197,4.0,0.0,5.0,9,1.0,0,0,0,0.0,0,1,205,20,0,169.0,20,3.0,70,7.0,41,18.0,172,45.0,283,70,28,42,,No,,,95,0,48,95,120.0,,,307130.0,6394,1819,0,8213,2000,14773,1416,16189,0,0.0,0,30288,49269,66400,53600,1400,81470,282427,308829,2000000,588534.0,,,,,,,,No,
12,2009,8.0,0,0.0,,,189,11.0,0.0,0.0,11,3.0,0,0,0,0.0,0,3,197,20,0,161.0,30,,64,7.0,33,5.0,183,51.0,280,63,63,45,,No,0.0,,92,0,35,95,120.0,,,305214.0,9000,2750,0,11750,1000,8548,0,8548,500,,500,24142,44397,44864,53136,0,132539,299078,320876,2045000,605724.0,,,,,,,,No,
13,2008,8.0,3,0.0,,,185,3.0,0.0,5.0,8,0.0,0,0,2,2.0,2,4,189,12,0,160.0,20,,60,11.0,18,10.0,208,70.0,286,91,91,42,,No,0.0,,100,0,21,90,115.0,,,309802.0,7398,3723,0,11121,0,9104,0,9104,500,,500,13155,60515,34580,42800,2109,129332,282491,303216,2045858,622347.0,,,,,,,,No,
14,2007,10.0,0,0.0,,,179,12.0,2.0,0.0,14,0.0,0,0,8,8.0,0,8,185,11,0,168.0,9,,61,15.0,11,5.0,204,60.0,276,80,80,44,,No,0.0,,77,0,17,90,115.0,,,348717.0,9305,2717,1400,13422,8747,26253,0,26253,600,,600,7602,64484,25420,36102,7363,142490,283461,332483,2045858,646090.0,,,,,,,,No,
15,2006,12.0,1,0.0,,,205,3.0,0.0,3.0,6,0.0,0,0,32,32.0,0,32,179,9,0,203.0,21,,68,30.0,26,6.0,200,93.0,294,129,129,60,,No,0.0,,0,0,29,90,115.0,,,417777.0,11123,13326,1685,26134,2500,32585,0,32585,100,,100,24122,64484,41153,42945,6940,168331,347975,409294,2043784,671630.0,,,,,,,,No,
16,2005,,19,0.0,,,200,7.0,0.0,0.0,7,0.0,0,0,2,2.0,0,2,205,10,0,283.0,30,,91,30.0,78,11.0,251,76.0,420,117,117,71,,No,0.0,,0,0,78,205,78.0,,,580363.0,41182,17774,867,59823,11159,33150,0,33150,19130,,19130,71220,61155,47620,50247,13612,189341,433195,556457,2029685,697340.0,,,,,,,,Yes,0.1178
17,2004,,5,0.0,,,170,34.0,0.0,0.0,34,1.0,0,2,1,3.0,0,4,200,12,0,228.0,29,,68,40.0,96,26.0,232,96.0,396,162,162,95,,No,0.0,,0,0,96,200,28.0,,,710546.0,30310,17313,100,47723,8213,25053,0,25053,14080,,14080,328608,21333,53674,57190,2857,185672,649334,744403,2000000,704173.0,,,,,,,,Yes,
18,2003,,5,0.0,,,169,20.0,0.0,3.0,23,2.0,11,0,0,11.0,9,22,170,12,0,223.0,38,,53,25.0,45,18.0,282,65.0,380,108,108,0,,No,0.0,,0,0,45,170,53.0,,,559915.0,33930,2783,0,36713,9194,28147,0,28147,16161,,16161,89791,7288,48098,80404,2895,115850,344326,434541,250000,0.0,,,,,,,,Yes,
19,2002,,16,0.0,,,152,20.0,1.0,4.0,25,1.0,0,0,0,0.0,7,8,169,23,0,266.0,24,,54,25.0,90,33.0,206,86.0,350,144,144,0,,No,0.0,,140,0,64,169,103.0,,,539843.0,30596,2991,625,34212,8119,24223,100,24323,13919,,13919,111036,3627,37692,105859,4571,145624,408409,488982,230000,0.0,,,,,,,,Yes,
20,2001,,11,0.0,,,157,20.0,1.0,2.0,23,1.0,13,4,1,18.0,9,28,152,10,0,255.0,12,,64,35.0,65,47.0,222,71.0,351,153,153,45,,No,0.0,,120,0,58,152,103.0,,,488954.0,28104,7153,0,35257,7615,21939,0,21939,13055,,13055,60203,14506,25012,52782,4359,135447,292309,370175,856000,113000.0,,,,,,,,Yes,0.1044
21,2000,,6,0.0,,,145,9.0,0.0,6.0,15,1.0,0,0,0,0.0,2,3,157,15,0,215.0,12,,86,35.0,91,40.0,113,53.0,290,128,128,60,,No,0.0,,90,0,41,157,93.0,,,441665.0,26076,2886,0,28962,4895,16352,0,16352,8391,,8391,10122,19372,33885,35043,2873,129876,231171,289771,636000,95000.0,,,,,,,,Yes,0.1099
22,1999,,2,0.0,,,137,10.0,0.0,17.0,27,2.0,15,0,2,17.0,0,19,145,15,0,173.0,7,,37,19.0,62,24.0,161,60.0,260,103,103,60,,No,0.0,,0,0,70,145,25.0,,,235675.0,17380,1290,710,19380,3282,10997,0,10997,5626,,5626,13169,14506,14500,27737,4490,89481,163883,203168,550000,123831.0,,,,,,,,Yes,0.1
23,1998,,2,0.0,,,130,5.0,2.0,2.0,9,0.0,0,0,0,0.0,2,2,137,31,0,124.0,6,,52,16.0,36,7.0,92,59.0,180,82,82,0,,No,0.0,,102,0,38,76,10.0,,,147884.0,10793,3487,0,14280,2711,8705,0,8705,4648,,4648,0,14506,12510,25366,1913,70238,124533,154877,450000,130000.0,,,,,,,,Yes,
24,1997,,10,0.0,,,143,7.0,3.0,0.0,10,2.0,14,0,2,16.0,5,23,130,0,0,102.0,5,,30,17.0,34,10.0,134,46.0,198,73,73,0,,No,0.0,,90,0,34,45,20.0,,,129221.0,8440,2978,0,11418,2287,8118,0,8118,3921,,3921,8280,14506,9838,28048,881,47954,109507,135251,450000,115500.0,,,,,,,,Yes,
25,1996,,0,0.0,,,133,9.0,0.0,6.0,15,3.0,0,0,0,0.0,2,5,143,0,0,92.0,6,,49,16.0,38,14.0,96,34.0,183,64,64,0,,No,0.0,,65,0,41,40,20.0,,,128824.0,7056,1782,0,8838,1912,7108,0,7108,4197,,4197,15125,14506,9694,20538,1424,38473,99760,121815,450000,126505.0,,,,,,,,Yes,
26,1995,,6,0.0,,,134,7.0,0.0,2.0,9,0.0,0,4,0,4.0,6,10,133,0,0,92.0,6,,56,19.0,24,9.0,105,37.0,185,65,65,0,,No,0.0,,6,92,30,22,29.0,,,117165.0,7092,1579,15,8686,1876,6785,211,6996,3216,,3216,13203,14531,10374,20956,638,25289,84991,105765,450000,141011.0,,,,,,,,Yes,
27,1994,,4,0.0,,,128,11.0,0.0,5.0,16,1.0,4,1,0,5.0,4,10,134,0,0,109.0,6,,78,26.0,43,15.0,111,38.0,232,79,79,0,,No,0.0,,95,0,43,22,29.0,,,126659.0,7643,1475,0,9118,2071,7726,0,7726,3550,,3550,62768,12488,10256,21857,546,24645,132560,155025,150000,150000.0,,,,,,,,Yes,
28,1993,,0,0.0,,,116,11.0,0.0,1.0,12,0.0,0,0,0,0.0,0,0,128,0,0,103.0,6,,72,26.0,45,13.0,104,38.0,221,77,77,0,,No,0.0,,92,0,45,22,29.0,,,114589.0,6069,2834,25,8928,1644,5819,0,5819,2819,0.0,2819,4780,11832,10127,20777,794,28190,76500,95710,150000,65000.0,,,,,,,,Yes,
29,1992,,5,0.0,,,111,6.0,0.0,2.0,8,2.0,0,1,0,1.0,0,3,116,0,0,101.0,6,,68,25.0,17,5.0,116,42.0,201,72,72,0,,No,0.0,,105,0,18,22,29.0,,,94589.0,6102,2806,80,8988,1653,5759,0,5759,2835,0.0,2835,9530,11852,8778,20870,1240,24104,76374,95609,450000,70812.0,,,,,,,,Yes,
30,1991,,0,0.0,,,105,7.0,0.0,3.0,10,1.0,3,0,0,3.0,0,4,111,20,0,97.0,7,,53,27.0,17,8.0,95,35.0,165,70,70,0,,No,0.0,,96,0,25,27,20.0,,,96465.0,5971,3304,0,9275,1618,5655,102,5757,2774,0.0,2774,0,11832,12442,17790,1050,19587,62701,82125,450000,75664.0,,,,,,,,Yes,
31,1990,,0,0.0,,,105,2.0,0.0,4.0,6,0.0,0,6,0,6.0,0,6,105,32,0,88.0,7,,46,27.0,13,6.0,89,31.0,148,64,64,0,,No,0.0,,70,0,8,1,44.0,,,80377.0,4142,937,139,5218,1122,3951,0,3951,1924,0.0,1924,6969,11832,13522,18731,945,15324,67323,79538,242000,79900.0,,,,,,,,Yes,
