Amount Requested,Application Date,Loan Title,Risk_Score,Debt-To-Income Ratio,Zip Code,State,Employment Length,Policy Code
"35000.00","2017-01-01","Home buying","600","26.12%","370xx","TN","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","3.09%","441xx","OH","< 1 year","0"
"40000.00","2017-01-01","Moving and relocation","681","9.31%","775xx","TX","< 1 year","0"
"4000.00","2017-01-01","debt_consolidation","","6%","121xx","NY","5 years","0"
"5000.00","2017-01-01","debt_consolidation","","36.31%","748xx","OK","< 1 year","0"
"31875.00","2017-01-01","Car financing","627","100%","490xx","MI","< 1 year","0"
"35000.00","2017-01-01","debt_consolidation","","53.04%","480xx","MI","< 1 year","0"
"40000.00","2017-01-01","Debt consolidation","675","38.08%","430xx","OH","< 1 year","0"
"6000.00","2017-01-01","debt_consolidation","","0.93%","531xx","WI","5 years","0"
"12000.00","2017-01-01","credit_card","","7.9%","618xx","IL","5 years","0"
"20000.00","2017-01-01","other","","65.02%","335xx","FL","< 1 year","0"
"11000.00","2017-01-01","debt_consolidation","","26.86%","977xx","OR","< 1 year","0"
"1000.00","2017-01-01","debt_consolidation","","23%","577xx","SD","5 years","0"
"18000.00","2017-01-01","Debt consolidation","643","8.22%","069xx","CT","< 1 year","0"
"25000.00","2017-01-01","small_business","","17.74%","029xx","RI","5 years","0"
"1000.00","2017-01-01","Other","","100%","174xx","PA","< 1 year","0"
"16500.00","2017-01-01","debt_consolidation","","7.63%","066xx","CT","< 1 year","0"
"35000.00","2017-01-01","debt_consolidation","","33.18%","575xx","SD","n/a","0"
"40000.00","2017-01-01","Debt consolidation","707","19.55%","977xx","OR","< 1 year","0"
"3000.00","2017-01-01","home_improvement","","36.33%","440xx","OH","5 years","0"
"2000.00","2017-01-01","debt_consolidation","","44.65%","231xx","VA","5 years","0"
"13950.00","2017-01-01","credit_card","","32.04%","797xx","TX","5 years","0"
"18000.00","2017-01-01","credit_card","","55.48%","547xx","WI","n/a","0"
"7000.00","2017-01-01","credit_card","","1%","112xx","NY","5 years","0"
"5000.00","2017-01-01","other","","138.14%","354xx","AL","< 1 year","0"
"2000.00","2017-01-01","Debt consolidation","649","22.79%","601xx","IL","< 1 year","0"
"4000.00","2017-01-01","Debt consolidation","659","4.02%","083xx","NJ","4 years","0"
"3500.00","2017-01-01","Debt consolidation","656","19.14%","554xx","MN","< 1 year","0"
"11000.00","2017-01-01","credit_card","","26.86%","977xx","OR","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","62.95%","314xx","GA","< 1 year","0"
"2000.00","2017-01-01","home_improvement","","86.32%","104xx","NY","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","18.33%","728xx","AR","< 1 year","0"
"8800.00","2017-01-01","Car financing","579","18.64%","107xx","NY","< 1 year","0"
"10000.00","2017-01-01","other","","29.13%","347xx","FL","< 1 year","0"
"15000.00","2017-01-01","debt_consolidation","","15.72%","371xx","TN","< 1 year","0"
"1000.00","2017-01-01","home_improvement","","18.26%","464xx","IN","< 1 year","0"
"6000.00","2017-01-01","debt_consolidation","","22%","547xx","WI","< 1 year","0"
"2000.00","2017-01-01","Vacation","617","49.42%","276xx","NC","< 1 year","0"
"8500.00","2017-01-01","moving","","0.75%","300xx","GA","< 1 year","0"
"1000.00","2017-01-01","small_business","","19.52%","313xx","GA","< 1 year","0"
"40000.00","2017-01-01","other","","46.81%","342xx","FL","< 1 year","0"
"1200.00","2017-01-01","moving","","1.71%","606xx","IL","5 years","0"
"1000.00","2017-01-01","debt_consolidation","","4.15%","073xx","NJ","5 years","0"
"1000.00","2017-01-01","Other","","1.71%","992xx","WA","n/a","0"
"1000.00","2017-01-01","Other","525","6.6%","368xx","AL","< 1 year","0"
"1000.00","2017-01-01","other","","20.05%","271xx","NC","5 years","0"
"25000.00","2017-01-01","debt_consolidation","","64.36%","477xx","IN","< 1 year","0"
"15000.00","2017-01-01","Debt consolidation","570","50.44%","275xx","NC","< 1 year","0"
"2000.00","2017-01-01","other","","4.26%","714xx","LA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","27980%","601xx","IL","< 1 year","0"
"6500.00","2017-01-01","house","","9.6%","276xx","NC","5 years","0"
"2500.00","2017-01-01","house","","54.04%","489xx","MI","5 years","0"
"1000.00","2017-01-01","other","","3.67%","463xx","IN","5 years","0"
"1000.00","2017-01-01","Debt consolidation","550","3.82%","302xx","GA","< 1 year","0"
"5000.00","2017-01-01","other","","0%","295xx","SC","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","39.11%","228xx","VA","5 years","0"
"7000.00","2017-01-01","debt_consolidation","","19.7%","271xx","NC","< 1 year","0"
"10000.00","2017-01-01","Debt consolidation","645","46.88%","421xx","KY","< 1 year","0"
"40000.00","2017-01-01","Debt consolidation","","100%","324xx","FL","< 1 year","0"
"20000.00","2017-01-01","Credit card refinancing","657","30.22%","714xx","LA","< 1 year","0"
"25000.00","2017-01-01","credit_card","","-1%","034xx","NH","5 years","0"
"20000.00","2017-01-01","house","","8.55%","444xx","OH","5 years","0"
"12875.00","2017-01-01","credit_card","","33.4%","224xx","VA","5 years","0"
"25000.00","2017-01-01","debt_consolidation","","-1%","403xx","KY","< 1 year","0"
"35000.00","2017-01-01","Debt consolidation","582","47.93%","217xx","MD","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","5.62%","315xx","GA","< 1 year","0"
"14000.00","2017-01-01","credit_card","","-1%","223xx","VA","5 years","0"
"3000.00","2017-01-01","moving","","-1%","814xx","CO","5 years","0"
"7500.00","2017-01-01","Debt consolidation","662","43.69%","199xx","DE","< 1 year","0"
"3000.00","2017-01-01","medical","","18.34%","071xx","NJ","< 1 year","0"
"20000.00","2017-01-01","home_improvement","","3.06%","458xx","OH","5 years","0"
"30000.00","2017-01-01","medical","","3.42%","088xx","NJ","5 years","0"
"19000.00","2017-01-01","Debt consolidation","647","49.58%","129xx","NY","< 1 year","0"
"5000.00","2017-01-01","car","","-1%","462xx","IN","5 years","0"
"30000.00","2017-01-01","Debt consolidation","698","25.88%","327xx","FL","2 years","0"
"2500.00","2017-01-01","Major purchase","734","26.93%","970xx","OR","3 years","0"
"4500.00","2017-01-01","car","","3.63%","038xx","NH","5 years","0"
"10000.00","2017-01-01","Debt consolidation","629","19.52%","270xx","NC","< 1 year","0"
"15000.00","2017-01-01","credit_card","","-1%","911xx","CA","5 years","0"
"15000.00","2017-01-01","Debt consolidation","646","48.07%","028xx","RI","< 1 year","0"
"10000.00","2017-01-01","credit_card","","-1%","840xx","UT","5 years","0"
"1000.00","2017-01-01","other","","3.2%","333xx","FL","5 years","0"
"13500.00","2017-01-01","debt_consolidation","","60.71%","655xx","MO","n/a","0"
"10175.00","2017-01-01","Car financing","724","100%","070xx","NJ","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","699","9.31%","481xx","MI","< 1 year","0"
"15000.00","2017-01-01","car","","1.15%","333xx","FL","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","6.44%","645xx","MO","< 1 year","0"
"2500.00","2017-01-01","debt_consolidation","","17.26%","273xx","NC","< 1 year","0"
"17000.00","2017-01-01","debt_consolidation","","40.53%","064xx","CT","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","-1%","712xx","LA","< 1 year","0"
"6000.00","2017-01-01","moving","","24.42%","144xx","NY","< 1 year","0"
"10000.00","2017-01-01","home_improvement","","220.57%","360xx","AL","n/a","0"
"10000.00","2017-01-01","other","","58.97%","303xx","GA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","15.23%","735xx","OK","< 1 year","0"
"14000.00","2017-01-01","debt_consolidation","","37.48%","048xx","ME","5 years","0"
"2000.00","2017-01-01","Other","601","30.05%","980xx","WA","< 1 year","0"
"10000.00","2017-01-01","other","","18.4%","326xx","FL","5 years","0"
"5000.00","2017-01-01","credit_card","","5.49%","853xx","AZ","5 years","0"
"1000.00","2017-01-01","other","","4.19%","235xx","VA","n/a","0"
"20000.00","2017-01-01","debt_consolidation","","32.93%","031xx","NH","< 1 year","0"
"1500.00","2017-01-01","car","","5%","344xx","FL","n/a","0"
"4500.00","2017-01-01","debt_consolidation","","5.52%","542xx","WI","< 1 year","0"
"10000.00","2017-01-01","home_improvement","","20.28%","844xx","UT","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","37.04%","372xx","TN","< 1 year","0"
"3000.00","2017-01-01","debt_consolidation","","2.25%","928xx","CA","< 1 year","0"
"3000.00","2017-01-01","Moving and relocation","746","0%","327xx","FL","< 1 year","0"
"28000.00","2017-01-01","debt_consolidation","","24.65%","018xx","MA","< 1 year","0"
"6000.00","2017-01-01","debt_consolidation","","-1%","752xx","TX","< 1 year","0"
"7500.00","2017-01-01","credit_card","","-1%","577xx","SD","5 years","0"
"20000.00","2017-01-01","house","","23.86%","441xx","OH","5 years","0"
"65000.00","2017-01-01","Business Loan","","-1%","210xx","MD","< 1 year","0"
"19000.00","2017-01-01","debt_consolidation","","48.15%","782xx","TX","5 years","0"
"15000.00","2017-01-01","debt_consolidation","","5.96%","606xx","IL","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","13.94%","077xx","NJ","5 years","0"
"4000.00","2017-01-01","debt_consolidation","","21.73%","142xx","NY","< 1 year","0"
"1000.00","2017-01-01","other","","1.27%","475xx","IN","5 years","0"
"15000.00","2017-01-01","credit_card","","38.42%","610xx","IL","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","41.51%","136xx","NY","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","8.61%","073xx","NJ","< 1 year","0"
"1000.00","2017-01-01","Other","534","10.91%","212xx","MD","< 1 year","0"
"1000.00","2017-01-01","Other","560","35.28%","770xx","TX","< 1 year","0"
"10000.00","2017-01-01","credit_card","","4.93%","933xx","CA","< 1 year","0"
"1000.00","2017-01-01","Debt consolidation","519","29.2%","860xx","AZ","< 1 year","0"
"6000.00","2017-01-01","Debt consolidation","722","13.93%","070xx","NJ","< 1 year","0"
"14000.00","2017-01-01","Credit card refinancing","700","35.52%","157xx","PA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","-1%","945xx","CA","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","48.15%","283xx","NC","< 1 year","0"
"10000.00","2017-01-01","Debt consolidation","","22.36%","244xx","VA","10+ years","0"
"25000.00","2017-01-01","debt_consolidation","","40.67%","563xx","MN","< 1 year","0"
"16000.00","2017-01-01","Debt consolidation","598","45.01%","015xx","MA","< 1 year","0"
"5000.00","2017-01-01","Debt consolidation","686","25.95%","130xx","NY","< 1 year","0"
"4000.00","2017-01-01","Debt consolidation","720","39.53%","355xx","AL","< 1 year","0"
"2000.00","2017-01-01","Debt consolidation","576","16.58%","430xx","OH","< 1 year","0"
"5000.00","2017-01-01","home_improvement","","14.98%","327xx","FL","< 1 year","0"
"1000.00","2017-01-01","Vacation","664","14.87%","553xx","MN","< 1 year","0"
"30000.00","2017-01-01","house","","28.99%","402xx","KY","5 years","0"
"5000.00","2017-01-01","credit_card","","6.64%","330xx","FL","5 years","0"
"5000.00","2017-01-01","Credit card refinancing","681","26.4%","891xx","NV","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","24.72%","852xx","AZ","< 1 year","0"
"3000.00","2017-01-01","debt_consolidation","","36.35%","370xx","TN","< 1 year","0"
"3000.00","2017-01-01","debt_consolidation","","13.29%","716xx","AR","< 1 year","0"
"25000.00","2017-01-01","Home buying","597","3.15%","949xx","CA","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","20.06%","920xx","CA","< 1 year","0"
"35000.00","2017-01-01","Debt consolidation","724","22.08%","440xx","OH","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","-1%","750xx","TX","5 years","0"
"39000.00","2017-01-01","debt_consolidation","","40.24%","120xx","NY","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","18.28%","775xx","TX","5 years","0"
"20000.00","2017-01-01","Debt consolidation","641","3.09%","328xx","FL","< 1 year","0"
"5000.00","2017-01-01","Other","689","578.14%","773xx","TX","< 1 year","0"
"1000.00","2017-01-01","other","","65.45%","752xx","TX","5 years","0"
"1000.00","2017-01-01","Medical expenses","682","36.51%","380xx","TN","< 1 year","0"
"10000.00","2017-01-01","home_improvement","","0.59%","326xx","FL","< 1 year","0"
"30000.00","2017-01-01","credit_card","","72.65%","902xx","CA","5 years","0"
"15000.00","2017-01-01","Credit card refinancing","667","41.01%","060xx","CT","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","58.3%","211xx","MD","< 1 year","0"
"10000.00","2017-01-01","moving","","-1%","681xx","NE","< 1 year","0"
"10000.00","2017-01-01","Debt consolidation","593","13.83%","020xx","MA","< 1 year","0"
"5000.00","2017-01-01","small_business","","6%","117xx","NY","5 years","0"
"5000.00","2017-01-01","car","","10.68%","245xx","VA","5 years","0"
"30000.00","2017-01-01","home_improvement","","49.65%","300xx","GA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","18.39%","775xx","TX","5 years","0"
"6000.00","2017-01-01","Debt consolidation","554","23.32%","224xx","VA","< 1 year","0"
"15000.00","2017-01-01","Debt consolidation","684","33.22%","161xx","PA","< 1 year","0"
"10000.00","2017-01-01","credit_card","","29.08%","855xx","AZ","< 1 year","0"
"7000.00","2017-01-01","debt_consolidation","","41.07%","549xx","WI","< 1 year","0"
"5000.00","2017-01-01","medical","","1%","685xx","NE","5 years","0"
"3000.00","2017-01-01","other","","23.22%","201xx","VA","< 1 year","0"
"1500.00","2017-01-01","debt_consolidation","","9999%","207xx","MD","< 1 year","0"
"2000.00","2017-01-01","car","","-1%","958xx","CA","< 1 year","0"
"26500.00","2017-01-01","debt_consolidation","","34.84%","290xx","SC","< 1 year","0"
"20000.00","2017-01-01","Debt consolidation","539","52.71%","730xx","OK","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","22.6%","037xx","NH","< 1 year","0"
"1200.00","2017-01-01","Other","607","28.92%","750xx","TX","< 1 year","0"
"35000.00","2017-01-01","credit_card","","26.2%","201xx","VA","n/a","0"
"1000.00","2017-01-01","debt_consolidation","","3.28%","721xx","AR","< 1 year","0"
"20000.00","2017-01-01","credit_card","","13.62%","080xx","NJ","5 years","0"
"20000.00","2017-01-01","Debt consolidation","501","25.66%","745xx","OK","< 1 year","0"
"3000.00","2017-01-01","home_improvement","","17.11%","352xx","AL","5 years","0"
"5000.00","2017-01-01","debt_consolidation","","41.13%","707xx","LA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","4.62%","481xx","MI","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","7.96%","295xx","SC","< 1 year","0"
"25000.00","2017-01-01","Home buying","653","27.4%","041xx","ME","< 1 year","0"
"6000.00","2017-01-01","debt_consolidation","","16.4%","279xx","NC","< 1 year","0"
"15750.00","2017-01-01","Car financing","737","100%","761xx","TX","< 1 year","0"
"10000.00","2017-01-01","major_purchase","","20.38%","631xx","MO","< 1 year","0"
"1000.00","2017-01-01","other","","54.42%","312xx","GA","5 years","0"
"5000.00","2017-01-01","car","","1.75%","410xx","KY","5 years","0"
"1000.00","2017-01-01","Car financing","501","20.44%","481xx","MI","< 1 year","0"
"3000.00","2017-01-01","Credit card refinancing","","17.23%","023xx","MA","n/a","0"
"5000.00","2017-01-01","small_business","","6%","117xx","NY","< 1 year","0"
"4000.00","2017-01-01","Debt consolidation","643","29.4%","905xx","CA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","36.07%","115xx","NY","< 1 year","0"
"30000.00","2017-01-01","Debt consolidation","582","37.87%","497xx","MI","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","17.85%","491xx","MI","< 1 year","0"
"18000.00","2017-01-01","Credit card refinancing","773","35.1%","601xx","IL","< 1 year","0"
"2000.00","2017-01-01","moving","","7.5%","802xx","CO","5 years","0"
"3000.00","2017-01-01","debt_consolidation","","13.2%","775xx","TX","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","21.32%","330xx","FL","5 years","0"
"35000.00","2017-01-01","car","","14.36%","028xx","RI","< 1 year","0"
"20000.00","2017-01-01","major_purchase","","14.46%","532xx","WI","< 1 year","0"
"40000.00","2017-01-01","Debt consolidation","616","35.28%","791xx","TX","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","-1%","935xx","CA","5 years","0"
"5000.00","2017-01-01","Debt consolidation","666","2.18%","112xx","NY","< 1 year","0"
"5000.00","2017-01-01","Credit card refinancing","801","49.96%","441xx","OH","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","-1%","191xx","PA","< 1 year","0"
"10000.00","2017-01-01","debt_consolidation","","80%","234xx","VA","< 1 year","0"
"25000.00","2017-01-01","credit_card","","50.31%","760xx","TX","5 years","0"
"20000.00","2017-01-01","debt_consolidation","","-1%","380xx","TN","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","1.38%","465xx","IN","< 1 year","0"
"5000.00","2017-01-01","credit_card","","28.83%","480xx","MI","5 years","0"
"30000.00","2017-01-01","debt_consolidation","","51.24%","394xx","MS","< 1 year","0"
"40000.00","2017-01-01","Debt consolidation","607","11.6%","925xx","CA","< 1 year","0"
"7500.00","2017-01-01","other","","-1%","107xx","NY","5 years","0"
"5000.00","2017-01-01","other","","5.47%","601xx","IL","< 1 year","0"
"2300.00","2017-01-01","medical","","43.08%","484xx","MI","< 1 year","0"
"23000.00","2017-01-01","debt_consolidation","","33.42%","883xx","NM","5 years","0"
"40000.00","2017-01-01","Debt consolidation","638","13.18%","926xx","CA","< 1 year","0"
"35000.00","2017-01-01","credit_card","","-1%","193xx","PA","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","3.11%","320xx","FL","< 1 year","0"
"10000.00","2017-01-01","medical","","4.27%","981xx","WA","< 1 year","0"
"15000.00","2017-01-01","Debt consolidation","711","39.94%","032xx","NH","< 1 year","0"
"5000.00","2017-01-01","Credit card refinancing","613","19.83%","750xx","TX","< 1 year","0"
"10000.00","2017-01-01","Debt consolidation","618","18.54%","811xx","CO","< 1 year","0"
"7000.00","2017-01-01","credit_card","","32.06%","229xx","VA","5 years","0"
"10000.00","2017-01-01","debt_consolidation","","8.02%","063xx","CT","< 1 year","0"
"7000.00","2017-01-01","credit_card","","11.39%","475xx","IN","5 years","0"
"8000.00","2017-01-01","credit_card","","21.12%","531xx","WI","< 1 year","0"
"5000.00","2017-01-01","credit_card","","-1%","100xx","NY","5 years","0"
"1000.00","2017-01-01","moving","","31.24%","809xx","CO","< 1 year","0"
"6000.00","2017-01-01","Debt consolidation","522","4%","180xx","PA","< 1 year","0"
"10000.00","2017-01-01","house","","10.71%","719xx","AR","5 years","0"
"20000.00","2017-01-01","debt_consolidation","","32.82%","431xx","OH","< 1 year","0"
"25000.00","2017-01-01","debt_consolidation","","-1%","444xx","OH","< 1 year","0"
"5000.00","2017-01-01","debt_consolidation","","17.41%","276xx","NC","5 years","0"
"15000.00","2017-01-01","debt_consolidation","625","71.44%","471xx","IN","< 1 year","0"
"1000.00","2017-01-01","other","","-1%","272xx","NC","5 years","0"
"32000.00","2017-01-01","debt_consolidation","","-1%","935xx","CA","5 years","0"
"4000.00","2017-01-01","home_improvement","","17.46%","284xx","NC","5 years","0"
"1000.00","2017-01-01","debt_consolidation","","8.47%","011xx","MA","5 years","0"
"13000.00","2017-01-01","other","","64.71%","307xx","GA","< 1 year","0"
"2000.00","2017-01-01","Business","612","7.9%","346xx","FL","< 1 year","0"
"15000.00","2017-01-01","other","","1.77%","191xx","PA","< 1 year","0"
"1000.00","2017-01-01","Debt consolidation","635","47.36%","329xx","FL","< 1 year","0"
"30000.00","2017-01-01","debt_consolidation","","10.83%","606xx","IL","5 years","0"
"10000.00","2017-01-01","major_purchase","","8.95%","302xx","GA","< 1 year","0"
"40000.00","2017-01-01","debt_consolidation","","40.57%","551xx","MN","n/a","0"
"10000.00","2017-01-01","car","","-1%","320xx","FL","< 1 year","0"
"25000.00","2017-01-01","credit_card","","23.23%","705xx","LA","5 years","0"
"2500.00","2017-01-01","other","","6.82%","996xx","AK","5 years","0"
"15000.00","2017-01-01","Credit card refinancing","588","20.22%","357xx","AL","< 1 year","0"
"20000.00","2017-01-01","debt_consolidation","","37.15%","142xx","NY","< 1 year","0"