yr,subject,winner
2015,Physics,Arthur B. McDonald
2015,Physics,Takaaki Kajita
2014,Physics,Hiroshi Amano
2014,Physics,Isamu Akasaki
2014,Physics,Shuji Nakamura
2013,Physics,François Englert
2013,Physics,Peter W. Higgs
2012,Physics,David J. Wineland
2012,Physics,Serge Haroche
2011,Physics,Adam G. Riess
2011,Physics,Brian Schmidt
2011,Physics,Saul Perlmutter
2010,Physics,Andre Geim
2010,Physics,Konstantin Novoselov
2009,Physics,Charles K. Kao
2009,Physics,George E. Smith
2009,Physics,Willard S. Boyle
2008,Physics,Makoto Kobayashi
2008,Physics,Toshihide Maskawa
2008,Physics,Yoichiro Nambu
2007,Physics,Albert Fert
2007,Physics,Peter Grünberg
2006,Physics,John C. Mather
2006,Physics,George F. Smoot
2005,Physics,Roy J. Glauber
2005,Physics,John L. Hall
2005,Physics,Theodor W. Hänsch
2004,Physics,David J. Gross
2004,Physics,H. David Politzer
2004,Physics,Frank Wilczek
2003,Physics,Alexei A. Abrikosov
2003,Physics,Vitaly L. Ginzburg
2003,Physics,Anthony J. Leggett
2002,Physics,Raymond Davis Jr.
2002,Physics,Riccardo Giacconi
2002,Physics,Masatoshi Koshiba
2001,Physics,Eric A. Cornell
2001,Physics,Wolfgang Ketterle
2001,Physics,Carl E. Wieman
2000,Physics,Zhores I. Alferov
2000,Physics,Jack S. Kilby
2000,Physics,Herbert Kroemer
1999,Physics,Gerardus 't Hooft
1999,Physics,Martinus J.G. Veltman
1998,Physics,Robert B. Laughlin
1998,Physics,Horst L. Störmer
1998,Physics,Daniel C. Tsui
1997,Physics,Steven Chu
1997,Physics,Claude Cohen-Tannoudji
1997,Physics,William D. Phillips
1996,Physics,David M. Lee
1996,Physics,Douglas D. Osheroff
1996,Physics,Robert C. Richardson
1995,Physics,Martin L. Perl
1995,Physics,Frederick Reines
1994,Physics,Bertram N. Brockhouse
1994,Physics,Clifford G. Shull
1993,Physics,Russell A. Hulse
1993,Physics,Joseph H. Taylor Jr.
1992,Physics,Georges Charpak
1991,Physics,Pierre-Gilles de Gennes
1990,Physics,Jerome I. Friedman
1990,Physics,Henry W. Kendall
1990,Physics,Richard E. Taylor
1989,Physics,Hans G. Dehmelt
1989,Physics,Wolfgang Paul
1989,Physics,Norman F. Ramsey
1988,Physics,Leon M. Lederman
1988,Physics,Melvin Schwartz
1988,Physics,Jack Steinberger
1987,Physics,J. Georg Bednorz
1987,Physics,K. Alex Müller
1986,Physics,Gerd Binnig
1986,Physics,Heinrich Rohrer
1986,Physics,Ernst Ruska
1985,Physics,Klaus von Klitzing
1984,Physics,Carlo Rubbia
1984,Physics,Simon van der Meer
1983,Physics,Subramanyan Chandrasekhar
1983,Physics,William A. Fowler
1982,Physics,Kenneth G. Wilson
1981,Physics,Nicolaas Bloembergen
1981,Physics,Arthur L. Schawlow
1981,Physics,Kai M. Siegbahn
1980,Physics,James Cronin
1980,Physics,Val Fitch
1979,Physics,Sheldon Glashow
1979,Physics,Abdus Salam
1979,Physics,Steven Weinberg
1978,Physics,Pyotr Kapitsa
1978,Physics,Arno Penzias
1978,Physics,Robert Woodrow Wilson
1977,Physics,Philip W. Anderson
1977,Physics,Sir Nevill F. Mott
1977,Physics,John H. van Vleck
1976,Physics,Burton Richter
1976,Physics,Samuel C.C. Ting
1975,Physics,Aage N. Bohr
1975,Physics,Ben R. Mottelson
1975,Physics,James Rainwater
1974,Physics,Antony Hewish
1974,Physics,Martin Ryle
1973,Physics,Leo Esaki
1973,Physics,Ivar Giaever
1973,Physics,Brian D. Josephson
1972,Physics,John Bardeen
1972,Physics,Leon N. Cooper
1972,Physics,Robert Schrieffer
1971,Physics,Dennis Gabor
1970,Physics,Hannes Alfvén
1970,Physics,Louis Néel
1969,Physics,Murray Gell-Mann
1968,Physics,Luis Alvarez
1967,Physics,Hans Bethe
1966,Physics,Alfred Kastler
1965,Physics,Richard P. Feynman
1965,Physics,Julian Schwinger
1965,Physics,Sin-Itiro Tomonaga
1964,Physics,Nicolay G. Basov
1964,Physics,Aleksandr M. Prokhorov
1964,Physics,Charles H. Townes
1963,Physics,Maria Goeppert-Mayer
1963,Physics,J. Hans D. Jensen
1963,Physics,Eugene Wigner
1962,Physics,Lev Landau
1961,Physics,Robert Hofstadter
1961,Physics,Rudolf Mössbauer
1960,Physics,Donald A. Glaser
1959,Physics,Owen Chamberlain
1959,Physics,Emilio Segrè
1958,Physics,Pavel A. Cherenkov
1958,Physics,Il´ja M. Frank
1958,Physics,Igor Y. Tamm
1957,Physics,Tsung-Dao Lee
1957,Physics,Chen Ning Yang
1956,Physics,John Bardeen
1956,Physics,Walter H. Brattain
1956,Physics,William B. Shockley
1955,Physics,Polykarp Kusch
1955,Physics,Willis E. Lamb
1954,Physics,Max Born
1954,Physics,Walther Bothe
1953,Physics,Frits Zernike
1952,Physics,Felix Bloch
1952,Physics,E. M. Purcell
1951,Physics,John Cockcroft
1951,Physics,Ernest T.S. Walton
1950,Physics,Cecil Powell
1949,Physics,Hideki Yukawa
1948,Physics,Patrick M.S. Blackett
1947,Physics,Edward V. Appleton
1946,Physics,Percy W. Bridgman
1945,Physics,Wolfgang Pauli
1944,Physics,Isidor Isaac Rabi
1943,Physics,Otto Stern
1939,Physics,Ernest Lawrence
1938,Physics,Enrico Fermi
1937,Physics,Clinton Davisson
1937,Physics,George Paget Thomson
1936,Physics,Carl D. Anderson
1936,Physics,Victor F. Hess
1935,Physics,James Chadwick
1933,Physics,Paul A.M. Dirac
1933,Physics,Erwin Schrödinger
1932,Physics,Werner Heisenberg
1930,Physics,Sir Venkata Raman
1929,Physics,Louis de Broglie
1928,Physics,Owen Willans Richardson
1927,Physics,Arthur H. Compton
1927,Physics,C.T.R. Wilson
1926,Physics,Jean Baptiste Perrin
1925,Physics,James Franck
1925,Physics,Gustav Hertz
1924,Physics,Manne Siegbahn
1923,Physics,Robert A. Millikan
1922,Physics,Niels Bohr
1921,Physics,Albert Einstein
1920,Physics,Charles Edouard Guillaume
1919,Physics,Johannes Stark
1918,Physics,Max Planck
1917,Physics,Charles Glover Barkla
1915,Physics,William Bragg
1915,Physics,Lawrence Bragg
1914,Physics,Max von Laue
1913,Physics,Heike Kamerlingh Onnes
1912,Physics,Gustaf Dalén
1911,Physics,Wilhelm Wien
1910,Physics,Johannes Diderik van der Waals
1909,Physics,Ferdinand Braun
1909,Physics,Guglielmo Marconi
1908,Physics,Gabriel Lippmann
1907,Physics,Albert A. Michelson
1906,Physics,J.J. Thomson
1905,Physics,Philipp Lenard
1904,Physics,Lord Rayleigh
1903,Physics,Henri Becquerel
1903,Physics,Pierre Curie
1903,Physics,Marie Curie
1902,Physics,Hendrik A. Lorentz
1902,Physics,Pieter Zeeman
1901,Physics,Wilhelm Conrad Röntgen
