FILEID,STUSAB,SUMLEVEL,COMPONENT,LOGRECNO,US,REGION,DIVISION,STATECE,STATE,COUNTY,COUSUB,PLACE,TRACT,BLKGRP,CONCIT,AIANHH,AIANHHFP,AIHHTLI,AITSCE,AITS,ANRC,CBSA,CSA,METDIV,MACC,MEMI,NECTA,CNECTA,NECTADIV,UA,BLANK,CDCURR,SLDU,SLDL,BLANK,BLANK,ZCTA5,SUBMCD,SDELM,SDSEC,SDUNI,UR,PCI,BLANK,BLANK,PUMA5,BLANK,GEOID,NAME,BTTR,BTBG,BLANK
ACSSF,WA,40,0,1,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04000US53,Washington,,,
ACSSF,WA,40,1,2,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,,,,,04001US53,Washington -- Urban,,,
ACSSF,WA,40,43,3,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,04043US53,Washington -- Rural,,,
ACSSF,WA,40,A0,4,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040A0US53,Washington -- In metropolitan or micropolitan statistical area,,,
ACSSF,WA,40,C0,5,,,,,53,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C0US53,Washington -- In metropolitan statistical area,,,
ACSSF,WA,40,C1,6,,,,,53,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,Y,,,,,040C1US53,Washington -- In metropolitan statistical area -- in principal city,,,
ACSSF,WA,40,C2,7,,,,,53,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,040C2US53,Washington -- In metropolitan statistical area -- not in principal city,,,
ACSSF,WA,40,E0,8,,,,,53,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E0US53,Washington -- In micropolitan statistical area,,,
ACSSF,WA,40,E1,9,,,,,53,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,Y,,,,,040E1US53,Washington -- In micropolitan statistical area -- in principal city,,,
ACSSF,WA,40,E2,10,,,,,53,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,040E2US53,Washington -- In micropolitan statistical area -- not in principal city,,,
ACSSF,WA,40,G0,11,,,,,53,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,040G0US53,Washington -- Not in metropolitan or micropolitan statistical area,,,
ACSSF,WA,40,H0,12,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,040H0US53,Washington -- Not in metropolitan statistical area,,,
ACSSF,WA,50,0,13,,,,,53,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53005,"Benton County, Washington",,,
ACSSF,WA,50,0,14,,,,,53,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53007,"Chelan County, Washington",,,
ACSSF,WA,50,0,15,,,,,53,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53009,"Clallam County, Washington",,,
ACSSF,WA,50,0,16,,,,,53,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53011,"Clark County, Washington",,,
ACSSF,WA,50,0,17,,,,,53,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53015,"Cowlitz County, Washington",,,
ACSSF,WA,50,0,18,,,,,53,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53021,"Franklin County, Washington",,,
ACSSF,WA,50,0,19,,,,,53,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53025,"Grant County, Washington",,,
ACSSF,WA,50,0,20,,,,,53,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53027,"Grays Harbor County, Washington",,,
ACSSF,WA,50,0,21,,,,,53,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53029,"Island County, Washington",,,
ACSSF,WA,50,0,22,,,,,53,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53033,"King County, Washington",,,
ACSSF,WA,50,0,23,,,,,53,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53035,"Kitsap County, Washington",,,
ACSSF,WA,50,0,24,,,,,53,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53041,"Lewis County, Washington",,,
ACSSF,WA,50,0,25,,,,,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53053,"Pierce County, Washington",,,
ACSSF,WA,50,0,26,,,,,53,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53057,"Skagit County, Washington",,,
ACSSF,WA,50,0,27,,,,,53,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53061,"Snohomish County, Washington",,,
ACSSF,WA,50,0,28,,,,,53,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53063,"Spokane County, Washington",,,
ACSSF,WA,50,0,29,,,,,53,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53067,"Thurston County, Washington",,,
ACSSF,WA,50,0,30,,,,,53,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53073,"Whatcom County, Washington",,,
ACSSF,WA,50,0,31,,,,,53,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05000US53077,"Yakima County, Washington",,,
ACSSF,WA,160,0,32,,,,,53,,,3180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5303180,"Auburn city, Washington",,,
ACSSF,WA,160,0,33,,,,,53,,,5210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5305210,"Bellevue city, Washington",,,
ACSSF,WA,160,0,34,,,,,53,,,5280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5305280,"Bellingham city, Washington",,,
ACSSF,WA,160,0,35,,,,,53,,,22640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5322640,"Everett city, Washington",,,
ACSSF,WA,160,0,36,,,,,53,,,23515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5323515,"Federal Way city, Washington",,,
ACSSF,WA,160,0,37,,,,,53,,,35275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5335275,"Kennewick city, Washington",,,
ACSSF,WA,160,0,38,,,,,53,,,35415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5335415,"Kent city, Washington",,,
ACSSF,WA,160,0,39,,,,,53,,,35940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5335940,"Kirkland city, Washington",,,
ACSSF,WA,160,0,40,,,,,53,,,43955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5343955,"Marysville city, Washington",,,
ACSSF,WA,160,0,41,,,,,53,,,53545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5353545,"Pasco city, Washington",,,
ACSSF,WA,160,0,42,,,,,53,,,57745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5357745,"Renton city, Washington",,,
ACSSF,WA,160,0,43,,,,,53,,,63000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5363000,"Seattle city, Washington",,,
ACSSF,WA,160,0,44,,,,,53,,,67000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5367000,"Spokane city, Washington",,,
ACSSF,WA,160,0,45,,,,,53,,,67167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5367167,"Spokane Valley city, Washington",,,
ACSSF,WA,160,0,46,,,,,53,,,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5370000,"Tacoma city, Washington",,,
ACSSF,WA,160,0,47,,,,,53,,,74060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5374060,"Vancouver city, Washington",,,
ACSSF,WA,160,0,48,,,,,53,,,80010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16000US5380010,"Yakima city, Washington",,,
ACSSF,WA,312,0,49,,,,,53,,,5280,,,,,,,,,,13380,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US133805305280,"Bellingham city, WA; Bellingham, WA Metro Area",,,
ACSSF,WA,312,0,50,,,,,53,,,35275,,,,,,,,,,28420,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US284205335275,"Kennewick city, WA; Kennewick-Richland, WA Metro Area",,,
ACSSF,WA,312,0,51,,,,,53,,,74060,,,,,,,,,,38900,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US389005374060,"Vancouver city, WA; Portland-Vancouver-Hillsboro, OR-WA Metro Area",,,
ACSSF,WA,312,0,52,,,,,53,,,3180,,,,,,,,,,42660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US426605303180,"Auburn city, WA; Seattle-Tacoma-Bellevue, WA Metro Area",,,
ACSSF,WA,312,0,53,,,,,53,,,5210,,,,,,,,,,42660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US426605305210,"Bellevue city, WA; Seattle-Tacoma-Bellevue, WA Metro Area",,,
ACSSF,WA,312,0,54,,,,,53,,,22640,,,,,,,,,,42660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US426605322640,"Everett city, WA; Seattle-Tacoma-Bellevue, WA Metro Area",,,
ACSSF,WA,312,0,55,,,,,53,,,35415,,,,,,,,,,42660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US426605335415,"Kent city, WA; Seattle-Tacoma-Bellevue, WA Metro Area",,,
ACSSF,WA,312,0,56,,,,,53,,,57745,,,,,,,,,,42660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US426605357745,"Renton city, WA; Seattle-Tacoma-Bellevue, WA Metro Area",,,
ACSSF,WA,312,0,57,,,,,53,,,63000,,,,,,,,,,42660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US426605363000,"Seattle city, WA; Seattle-Tacoma-Bellevue, WA Metro Area",,,
ACSSF,WA,312,0,58,,,,,53,,,70000,,,,,,,,,,42660,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US426605370000,"Tacoma city, WA; Seattle-Tacoma-Bellevue, WA Metro Area",,,
ACSSF,WA,312,0,59,,,,,53,,,67000,,,,,,,,,,44060,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US440605367000,"Spokane city, WA; Spokane-Spokane Valley, WA Metro Area",,,
ACSSF,WA,312,0,60,,,,,53,,,67167,,,,,,,,,,44060,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US440605367167,"Spokane Valley city, WA; Spokane-Spokane Valley, WA Metro Area",,,
ACSSF,WA,312,0,61,,,,,53,,,80010,,,,,,,,,,49420,,,,,,,,,,,,,,,,,,,,,Y,,,,,31200US494205380010,"Yakima city, WA; Yakima, WA Metro Area",,,
ACSSF,WA,500,0,62,,,,,53,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,50000US5301,"Congressional District 1 (114th Congress), Washington",,,
ACSSF,WA,500,0,63,,,,,53,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,50000US5302,"Congressional District 2 (114th Congress), Washington",,,
ACSSF,WA,500,0,64,,,,,53,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,50000US5303,"Congressional District 3 (114th Congress), Washington",,,
ACSSF,WA,500,0,65,,,,,53,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,50000US5304,"Congressional District 4 (114th Congress), Washington",,,
ACSSF,WA,500,0,66,,,,,53,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,50000US5305,"Congressional District 5 (114th Congress), Washington",,,
ACSSF,WA,500,0,67,,,,,53,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,50000US5306,"Congressional District 6 (114th Congress), Washington",,,
ACSSF,WA,500,0,68,,,,,53,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,50000US5307,"Congressional District 7 (114th Congress), Washington",,,
ACSSF,WA,500,0,69,,,,,53,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,50000US5308,"Congressional District 8 (114th Congress), Washington",,,
ACSSF,WA,500,0,70,,,,,53,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,50000US5309,"Congressional District 9 (114th Congress), Washington",,,
ACSSF,WA,500,0,71,,,,,53,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,50000US5310,"Congressional District 10 (114th Congress), Washington",,,
ACSSF,WA,795,0,72,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10100,,79500US5310100,"Whatcom County--Bellingham City PUMA, Washington",,,
ACSSF,WA,795,0,73,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200,,79500US5310200,"Skagit, Island & San Juan Counties PUMA; Washington",,,
ACSSF,WA,795,0,74,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10300,,79500US5310300,"Chelan & Douglas Counties PUMA, Washington",,,
ACSSF,WA,795,0,75,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10400,,79500US5310400,"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington",,,
ACSSF,WA,795,0,76,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10501,,79500US5310501,"Spokane County (North Central)--Spokane City (North) PUMA, Washington",,,
ACSSF,WA,795,0,77,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10502,,79500US5310502,"Spokane County (South Central)--Spokane City (South) PUMA, Washington",,,
ACSSF,WA,795,0,78,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10503,,79500US5310503,"Spokane County (East Central)--Greater Spokane Valley City PUMA, Washington",,,
ACSSF,WA,795,0,79,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10504,,79500US5310504,"Spokane County (Outer)--Cheney City PUMA, Washington",,,
ACSSF,WA,795,0,80,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600,,79500US5310600,"Whitman, Asotin, Adams, Lincoln, Columbia & Garfield Counties PUMA; Washington",,,
ACSSF,WA,795,0,81,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10701,,79500US5310701,"Benton & Franklin Counties--Pasco, Richland (North) & West Richland Cities PUMA; Washington",,,
ACSSF,WA,795,0,82,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10702,,79500US5310702,"Benton County (East Central)--Kennewick & Richland (South) Cities PUMA, Washington",,,
